_id,geometry,locality,placeName,placeNameId
5b418dfb3d88413b6ca9dfce,"{""type"": ""MultiPoint"", ""coordinates"": [[172.533996706677, -43.5297617710062]]}",Riccarton Park,Cicada Reserve,451
5b418dfb3d88413b6ca9df3f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.605261781024, -43.4978662529507]]}",Papanui,St James Park,367
5b418dfb3d88413b6ca9df40,"{""type"": ""MultiPoint"", ""coordinates"": [[172.685239241455, -43.5493389936262]]}",Woolston,St Johns Courts,368
5b418dfb3d88413b6ca9df56,"{""type"": ""MultiPoint"", ""coordinates"": [[172.550794849835, -43.5582324781194]]}",Hornby,Upper Heathcote Esplanade Reserve,3762
5b418dfb3d88413b6ca9df59,"{""type"": ""MultiPoint"", ""coordinates"": [[172.553391982025, -43.5588754918112]]}",Oaklands,Upper Heathcote Esplanade Reserve,3765
5b418dfb3d88413b6ca9df6f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.53945084593, -43.5710324000964]]}",Halswell,Neil Graham Park,3796
5b418dfb3d88413b6ca9df7f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.633507937123, -43.5642921382836]]}",Cashmere,Thorrington Reserve,383
5b418dfb3d88413b6ca9df8f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.545032453773, -43.5720008070586]]}",Halswell,Greenwich 2 Drainage Reserve,3847
5b418dfb3d88413b6ca9dfa1,"{""type"": ""MultiPoint"", ""coordinates"": [[172.548992177623, -43.573007616770994]]}",Wentworth Park,Viceroy Reserve,399
5b418dfb3d88413b6ca9dfa4,"{""type"": ""MultiPoint"", ""coordinates"": [[172.567279827166, -43.5359673197123]]}",Upper Riccarton,Vicki Reserve,400
5b418dfb3d88413b6ca9dfa9,"{""type"": ""MultiPoint"", ""coordinates"": [[172.612572389798, -43.5771359635583]]}",Hoon Hay Valley,Waipara Playground,408
5b418dfb3d88413b6ca9dfdb,"{""type"": ""MultiPoint"", ""coordinates"": [[172.697977428323, -43.5483532126295]]}",Woolston,Ti Rakau Reserve,467
5b418dfb3d88413b6ca9dfe7,"{""type"": ""MultiPoint"", ""coordinates"": [[172.6369453925, -43.569465607763]]}",Cashmere,Rossmore Reserve,480
5b418dfb3d88413b6ca9df39,"{""type"": ""MultiPoint"", ""coordinates"": [[172.681384828277, -43.5569547870842]]}",Woolston,Heathcote Riverbank True Left East,3642
5b418dfb3d88413b6ca9df46,"{""type"": ""MultiPoint"", ""coordinates"": [[172.685596228152, -43.499870458727194]]}",Burwood,Waitakiri Primary School,3707
5b418dfb3d88413b6ca9df48,"{""type"": ""MultiPoint"", ""coordinates"": [[172.655789705469, -43.520532549612895]]}",Richmond,Richmond Playground,371
5b418dfb3d88413b6ca9df68,"{""type"": ""MultiPoint"", ""coordinates"": [[172.548863228704, -43.5791766943267]]}",Halswell,Belgrave Drainage Reserve,3786
5b418dfb3d88413b6ca9df76,"{""type"": ""MultiPoint"", ""coordinates"": [[172.54138066965598, -43.5722305609299]]}",Halswell,Aberdare Drainage Reserve,3801
5b418dfb3d88413b6ca9df7a,"{""type"": ""MultiPoint"", ""coordinates"": [[172.561292130183, -43.5533567345113]]}",Hornby,Parera Park,3825
5b418dfb3d88413b6ca9df85,"{""type"": ""MultiPoint"", ""coordinates"": [[172.546339950098, -43.5746405065346]]}",Halswell,Caulfield Drainage Reserve,3837
5b418dfb3d88413b6ca9dfd4,"{""type"": ""MultiPoint"", ""coordinates"": [[172.708503772451, -43.47416287210059]]}",Queenspark,Broadhaven Reserve,46
